"probability_of_success_mixmod","CI_lb_mixmod","CI_ub_mixmod","probability_of_success_binom","CI_lb_binom","CI_ub_binom","trial_number"
0.569999999999938,0.41852501115975,0.709412744272225,0.57,0.414753162238456,0.716130231677342,100
0.544999999999985,0.438114261001587,0.647894156709578,0.545,0.435981529317786,0.651078724112352,200
0.523333333333333,0.436326372301951,0.608946785897816,0.523333333333333,0.43474359711347,0.610907345405496,300
0.5375,0.46184784852344,0.611463994990476,0.5375,0.460761413610338,0.613015202504035,400
0.516055158504119,0.447568466451009,0.58394404836732,0.516,0.44757577360171,0.584006989038639,500
0.518361790760542,0.456378334885498,0.579785229867556,0.518333333333333,0.455897101099334,0.580371438489167,600
0.518571428571429,0.46148142226988,0.575180615596096,0.518571428571429,0.460800592809525,0.575996792959727,700
0.503835392841482,0.449175753449262,0.558403509050003,0.50375,0.449824276247762,0.557614718581417,800
0.507785366032473,0.457241368478169,0.55817071063738,0.507777777777778,0.45692860745251,0.558514531357261,900
0.506076912096223,0.457378118921972,0.554660665934946,0.506,0.457785324607533,0.5541366594291,1000
0.508181818181819,0.462667490599371,0.553560919782917,0.508181818181818,0.46221391069038,0.554053048668348,1100
0.503333333333333,0.459781600143193,0.546834542862754,0.503333333333333,0.45935566444693,0.54727491009865,1200
0.506923076923079,0.465050430646425,0.548698822473716,0.506923076923077,0.46466520032679,0.549111780896587,1300
0.508571428530884,0.468208223482848,0.548823193498764,0.508571428571429,0.467854034527213,0.549209320491805,1400
0.504000000000001,0.465024863119807,0.542926584366308,0.504,0.464686730164672,0.543278651456603,1500
0.503750000000001,0.466009767258006,0.541447548912938,0.50375,0.465692634987832,0.541776946138087,1600
0.502941176470588,0.466328253533656,0.5395225841462,0.502941176470588,0.466028782361523,0.539831121134591,1700
0.504444444292633,0.468853212777768,0.539990689689264,0.504444444444444,0.46857274680918,0.540284109859551,1800
0.50421052631579,0.469567019152962,0.538813650872827,0.504210526315789,0.469301228383557,0.539091080761797,1900
0.5065,0.47272285120045,0.540217916245388,0.5065,0.472473394106319,0.540484459513026,2000
0.507142857142962,0.474175674077306,0.540048039488541,0.507142857142857,0.473939219713738,0.540302392945603,2100
0.503691694125925,0.470809761102523,0.536541724078814,0.503636363636364,0.471208065113088,0.536043234458025,2200
0.503522206801221,0.471364446754441,0.535650852665363,0.503478260869565,0.471766633746334,0.535170286073176,2300
0.50340389497157,0.471854644650133,0.534926062628797,0.503333333333333,0.472292957666241,0.534355709156489,2400
0.501657404493767,0.470462988327681,0.532838923401502,0.5016,0.471193739331445,0.531997967482657,2500
0.50040025493514,0.470123980924339,0.53067359407023,0.500384615384615,0.470574414134065,0.530192900006449,2600
0.5000667133953,0.469909533080591,0.530223408334884,0.5,0.470750432830223,0.529249567169777,2700
0.501857041904558,0.472252853403903,0.531448215738953,0.501785714285714,0.473061558250877,0.530501609307614,2800
0.500771204911618,0.471597155230065,0.52994000439036,0.500689655172414,0.472469610457712,0.528906619790814,2900
0.499095609855061,0.470343363326316,0.52785383886236,0.499,0.47126000454251,0.526744312259961,3000
0.501396166777248,0.473035052391212,0.529748299852953,0.501290322580645,0.473998542086311,0.528576713243446,3100
0.500382379210511,0.472619566182175,0.528142834614717,0.5003125,0.473454277691267,0.52716945787624,3200
0.499447899818765,0.472296966459829,0.526602089519753,0.499393939393939,0.472949320326462,0.525840936158352,3300
0.497112305275722,0.470114159226838,0.524127301118774,0.497058823529412,0.471012468887974,0.523116376597528,3400
0.497179672089218,0.470542788127186,0.52383257490163,0.497142857142857,0.471472559905163,0.522823721112353,3500
0.495890465617522,0.469718299225501,0.522085172593421,0.495833333333333,0.470526275708788,0.521155371462785,3600
0.494634130437008,0.468944211084104,0.520352414924984,0.494594594594595,0.469635902434138,0.519572194142228,3700
0.496124084841442,0.470771753004682,0.521496363225239,0.496052631578947,0.471422573323821,0.520696132794122,3800
0.496979232367505,0.471853297436373,0.522120433514949,0.496923076923077,0.472610267366694,0.521246095638782,3900
0.497052631191311,0.472262691221518,0.521857070374729,0.497,0.472994010288667,0.521015694084175,4000
0.500307127687202,0.475683940418678,0.524928825349831,0.500243902439024,0.476528020019647,0.523959015182727,4100
0.501497974674431,0.477293098779787,0.525695831522576,0.501428571428571,0.477996087425783,0.524856654967356,4200
0.500743018678529,0.476799796610459,0.524682833574591,0.500697674418605,0.47754136406368,0.52385188582689,4300
0.501179008013187,0.477743395816232,0.524609440973253,0.501136363636364,0.478245112096997,0.524024274349668,4400
0.500255753883464,0.477099366190266,0.52341104450907,0.500222222222222,0.477588985189996,0.522854820495229,4500
0.497187202981769,0.473972626175353,0.520413913414095,0.497173913043478,0.474793606985881,0.519562165379034,4600
0.497038390086318,0.474066318631553,0.520022971902157,0.497021276595745,0.474881432802105,0.519169317163407,4700
0.495411775194269,0.472699698890748,0.518142803153697,0.495416666666667,0.47351216090561,0.517333521269324,4800
