"probability_of_success_mixmod","CI_lb_mixmod","CI_ub_mixmod","probability_of_success_binom","CI_lb_binom","CI_ub_binom","trial_number"
0.54,0.390247993006924,0.682861877253461,0.54,0.38575242210298,0.689039288304052,100
0.495,0.389934608058296,0.600508849432209,0.495,0.387196881443294,0.603129721480513,200
0.509999999999999,0.423317423170235,0.596085369812342,0.51,0.421624133188429,0.597940565415317,300
0.5,0.424986994365072,0.575013005634928,0.5,0.423662880212583,0.576337119787417,400
0.498,0.430841842739069,0.56523039953272,0.498,0.429776728112604,0.566275426067178,500
0.511666666666667,0.450104903889273,0.572876540339211,0.511666666666667,0.449278330403697,0.573801651080931,600
0.519999999999999,0.462897510553375,0.576584680770894,0.52,0.462222132866606,0.577405820378166,700
0.50875,0.455415732016432,0.561885829970265,0.50875,0.454790245580403,0.562567408751462,800
0.505555555555556,0.455283551835227,0.555715472569808,0.505555555555556,0.454719475094405,0.556311338409505,900
0.506000000000001,0.458290722496513,0.553600255062912,0.506,0.457785324607533,0.5541366594291,1000
0.501818181818183,0.456350709826614,0.547255603598544,0.501818181818182,0.455882096010318,0.547732783883029,1100
0.5025,0.4589539458638,0.546008161014175,0.5025,0.458526420131148,0.546446510781352,1200
0.500769230769231,0.458936025346816,0.542591669602009,0.500769230769231,0.458538143301282,0.54299263239904,1300
0.49500000035567,0.454721159873527,0.535343847469144,0.495,0.454341642288036,0.535704733898115,1400
0.492666666666674,0.453763276633764,0.531659069464275,0.492666666666667,0.453405378952387,0.531991421463105,1500
0.490625000000005,0.452965127315072,0.528391581548738,0.490625,0.452626431386342,0.528699615922707,1600
0.495294118206636,0.458723413543677,0.53191524654785,0.495294117647059,0.458411894470681,0.532212259945929,1700
0.488343365622636,0.452621907317076,0.524184279806942,0.488333333333333,0.452527964204968,0.524222787243918,1800
0.486842105263158,0.452292788846467,0.521517615934105,0.486842105263158,0.452002843263877,0.521771190941116,1900
0.488009141654887,0.454106791703985,0.522022170602867,0.488,0.454040234493692,0.522037574366425,2000
0.486180975650484,0.452695488160816,0.519790978927032,0.486190476190476,0.453060717034738,0.51940549872194,2100
0.491796231973954,0.458561935546101,0.525103196171126,0.491818181818182,0.459428158345247,0.524256417668956,2200
0.495206739300566,0.462742344988181,0.527711602065029,0.495217391304348,0.463529719278735,0.526932015974841,2300
0.492478702723847,0.460622921764933,0.524395675164479,0.4925,0.461491654160475,0.523548845521717,2400
0.491576027435592,0.460328654464896,0.522889359247221,0.4916,0.461223759374482,0.522019779904437,2500
0.492657359040507,0.462069568501705,0.523300219361355,0.492692307692308,0.462904424428925,0.522516606935344,2600
0.494051326727313,0.464070482068606,0.524075014346926,0.494074074074074,0.46484076294469,0.523335818253759,2700
0.492844853631497,0.463289385751591,0.522450418156267,0.492857142857143,0.464156367526958,0.521590962265865,2800
0.490655850334305,0.461673600956756,0.519701048578008,0.490689655172414,0.46249677308192,0.518924118622737,2900
0.489291252955611,0.461096749315304,0.517554054530511,0.489333333333333,0.461620417941098,0.517092294703786,3000
0.486029467071021,0.458007662950989,0.514139375606319,0.486129032258065,0.458879259663578,0.513436745720079,3100
0.485246970590135,0.457700795294823,0.512883072356313,0.4853125,0.458496132837363,0.51218829569374,3200
0.486926590931252,0.460061998326175,0.513866929440574,0.486969696969697,0.460558353936804,0.513432160622511,3300
0.487908294539409,0.46151856126627,0.514365606902358,0.487941176470588,0.461919261319159,0.514009005268464,3400
0.488836986589619,0.462990791490924,0.51474300704333,0.488857142857143,0.463208087759233,0.514547408281952,3500
0.490825651830184,0.465446048388422,0.516252634841421,0.490833333333333,0.465538618963775,0.516161004846727,3600
0.489716382373088,0.464705080843632,0.514779276473286,0.48972972972973,0.464783331679041,0.514712051856722,3700
0.491301060526296,0.466413265811821,0.516232048270874,0.491315789473684,0.466696727959826,0.515964425525579,3800
0.490489346868414,0.465906415636169,0.515118360828744,0.490512820512821,0.466214539972926,0.514842579330652,3900
0.492741131759348,0.46853926675416,0.516977065737286,0.49275,0.468752964175584,0.516770488073391,4000
0.491442205642155,0.467447450011269,0.515476454804188,0.491463414634146,0.467764820466266,0.515188947478354,4100
0.490207912241998,0.466383459732797,0.514076929283091,0.490238095238095,0.466827192047838,0.513679068304885,4200
0.489975393732787,0.466551311018946,0.513443580046585,0.49,0.466864364817315,0.513165720125863,4300
